Title,Author,ISBN,Call Number,Publication Year,Subject,Material Type,Location,Barcode,Total Checkouts,Last Checkout Date,Created Date,Item Status,Price,Collection
The Silent Patient,Alex Michaelides,9781574349160,823.92 M36,2019,Fiction,Book,Main,33081821325,0,,2019-09-03,Available,24.48,Adult Fiction
Thirteen Reasons Why,Jay Asher,9780506770669,813.6 A98,2007,Fiction,Book,YA,35144289583,16,2025-10-03,2008-02-24,Available,11.37,YA
Lawn Boy,Jonathan Evison,9780704671782,813.6 E48,2018,Fiction,CD,Main,36964188417,25,2024-08-26,2018-06-08,Checked Out,15.88,Adult Fiction
Harrison's Principles of Internal Medicine,Dennis Kasper,9781650801193,616 K76,1994,Medicine,Book,Main,38759662631,6,2024-09-28,1995-04-29,Checked Out,15.13,Reference
The Guest List,Lucy Foley,9780550676436,823.92 F57,2020,Fiction,Book,Branch,35748253283,31,2023-01-11,2021-06-18,Available,22.69,Adult Fiction
Half Baked Harvest Super Simple,Tieghan Gerard,9781580093798,641.5 G21,2019,Cooking,Book,Branch,39150660834,14,2021-08-11,2019-03-30,Available,14.94,Adult Non-Fiction
HTML for the World Wide Web,Elizabeth Castro,9781236882219,005.72 C28,1998,Technology,Book,Main,38827886095,6,2025-11-24,1998-01-09,Lost,25.56,Adult Non-Fiction
The Devil in the White City,Erik Larson,9781115466547,364.1523 L40,2003,True Crime,Book,Branch,37215110267,0,,2004-10-31,Available,11.33,Adult Non-Fiction
The Lincoln Highway,Amor Towles,9780311921546,813.6 T98,2021,Fiction,Large Print,Branch,35838166906,13,2023-07-22,2022-11-13,Available,44.51,Adult Fiction
To Kill a Mockingbird,Harper Lee,9780608558226,PS3562.E353 1967,1960,Fiction,CD,Main,33831788593,48,2025-07-30,2005-08-22,Available,11.58,Adult Fiction
Diary of a Wimpy Kid,Jeff Kinney,9781402232107,813.6 K17,2007,Fiction,Book,Children,36562144159,16,2024-03-10,2008-04-10,Available,18.89,Juvenile
Book Lovers,Emily Henry,9781423542087,813.6 H36,2022,Fiction,Book,Main,39771121724,111,2024-01-16,2022-07-23,Available,27.85,Adult Fiction
Happy Place,Emily Henry,9781813619832,PS3608.E573 1913,2023,Fiction,Book,Main,34993808565,13,2024-08-13,2023-12-07,Available,26.23,Adult Fiction
Atomic Habits,James Clear,9780103792132,158.1 C88,2018,Self-Help,Book,Branch,32475860255,10,2023-01-16,2019-02-09,Available,27.86,Adult Non-Fiction
A Gentleman in Moscow,Amor Towles,9781861927880,813.6 T32,2016,Fiction,DVD,Main,39080510951,28,2024-06-17,2016-10-07,Checked Out,24.41,Adult Fiction
Gone Girl,Gillian Flynn,9781752563210,813.6 F80,2012,Fiction,Book,Main,31735620429,23,2025-04-12,2012-01-30,Available,28.15,Adult Fiction
The Kite Runner,Khaled Hosseini,9780430870350,813.54 H19,2003,Fiction,Book,Branch,35818914408,2,2025-02-28,2003-03-25,Available,26.77,Adult Fiction
Gone Girl,Gillian Flynn,9780881273540,PS3606.L93 1929,2012,Fiction,CD,Branch,33474961963,9,2022-01-13,2012-10-11,Available,18.96,Adult Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780382403439,823.914 R26,1998,Fiction,Book,Children,38949613826,9,2025-01-28,1999-10-14,Checked Out,16.16,Juvenile
Gone Girl,Gillian Flynn,9781966599876,PS3606.L93 1942,2012,Fiction,Book,Main,36263212814,19,2020-09-16,2012-02-25,Available,18.07,Adult Fiction
Mockingjay,Suzanne Collins,9780723724223,813.6 C36,2010,Fiction,Book,YA,38625774078,36,2025-10-01,2011-01-04,Available,27.76,YA
The Vanishing Half,Brit Bennett,9781580383905,813.6 B89,2020,Fiction,Book,Main,39547119184,5,2022-05-14,2020-07-31,Checked Out,16.02,Adult Fiction
The Girl on the Train,Paula Hawkins,9781455543632,823.92 H18,2015,Fiction,Large Print,Main,35136298935,27,2025-09-04,2016-02-21,Available,25.33,Adult Fiction
Learning Perl,Randal L. Schwartz,9780767459136,005.133 S67,1993,Technology,Book,Main,33346800656,3,2022-04-07,1996-04-23,Available,27.76,Adult Non-Fiction
Outliers: The Story of Success,Malcolm Gladwell,9781808896439,302 G36,2008,Social Science,Book,Branch,38249315123,8,2024-04-07,2009-09-14,Checked Out,24.67,Adult Non-Fiction
Just Mercy,Bryan Stevenson,9781677704118,KF373.S74 2012,2014,Law,Book,Branch,36003567415,16,2024-12-07,2015-11-05,Available,12.00,Adult Non-Fiction
Brave New World,Aldous Huxley,9781964644073,823.912 H93,1932,Fiction,Book,Branch,33592071203,2,2024-12-29,2005-12-24,Available,27.81,Adult Fiction
Daisy Jones & The Six,Taylor Jenkins Reid,9780642827005,PS3618.E537 2024,2019,Fiction,Book,Branch,35074682264,29,2021-08-16,2019-10-12,Available,17.89,Adult Fiction
"Stamped: Racism, Antiracism, and You",Jason Reynolds,9781270907879,E184.A1.R49 1963,2020,Social Science,Book,YA,38834402141,7,2020-04-27,2020-05-29,Available,16.50,YA
The Giver,Lois Lowry,9781952957390,PS3562.O923 1904,1993,Fiction,Book,Children,32118594780,13,2020-04-21,1994-08-21,Available,16.44,Juvenile
A Court of Thorns and Roses,Sarah J. Maas,9780863661129,813.6 M37,2015,Fiction,Book,Branch,37954672204,0,,2015-08-29,Missing,23.77,Adult Fiction
The Shining,Stephen King,9780501449362,813.54 K77,1977,Fiction,Audiobook,Main,36837342064,33,2024-05-09,2002-03-19,Available,25.40,Adult Fiction
It Ends with Us,Colleen Hoover,9781187363485,813.6 H50,2016,Fiction,Book,Main,31599707677,36,2024-06-23,2017-08-20,Available,17.87,Adult Fiction
Flamer,Mike Curato,9781225819318,741.5 C27,2020,Graphic Novels,Audiobook,YA,32308608938,9,2022-07-17,2020-05-25,Checked Out,26.14,YA
Rich Dad Poor Dad,Robert T. Kiyosaki,9780887642166,332.024 K24,1997,Finance,Book,Main,34180378138,6,2022-08-07,1999-08-05,Available,26.15,Adult Non-Fiction
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,9781735009346,PZ7.K6132 1925,2009,Fiction,Book,Children,31092292243,35,2020-03-16,2009-06-10,Available,17.58,Juvenile
Hillbilly Elegy,J.D. Vance,9781847560957,305.562 V36,2016,Social Science,Book,Main,31660370908,34,2020-10-15,2016-09-14,Available,21.91,Adult Non-Fiction
Dark Places,Gillian Flynn,9781436974219,813.6 F72,2009,Fiction,CD,Main,33878201524,16,2024-06-28,2010-11-10,Available,17.31,Adult Fiction
Normal People,Sally Rooney,9781483612201,823.92 R82,2018,Fiction,Large Print,Main,34085320828,12,2023-07-01,2018-01-27,Available,35.66,Adult Fiction
The Bad Guys,Aaron Blabey,9780007123339,823.92 B86,2015,Fiction,Book,Children,36931082155,55,2021-11-26,2015-09-24,Available,20.56,Juvenile
To Kill a Mockingbird,Harper Lee,9781728799810,PS3562.E353 2021,1960,Fiction,Book,Main,33362751242,0,,1998-02-19,Available,13.30,Adult Fiction
Charlotte's Web,E.B. White,9780225878301,PZ7.W5828 1989,1952,Fiction,Book,Children,34408903107,4,2021-04-12,1997-05-21,Available,20.44,Juvenile
Fourth Wing,Rebecca Yarros,9781067681463,813.6 Y52,2023,Fiction,DVD,Main,36939746472,2,2020-10-01,2024-07-26,Available,17.96,Adult Fiction
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9781049202266,813.54 A72,2007,Fiction,Book,YA,36477862024,0,,2008-12-11,Available,18.62,YA
Speak,Laurie Halse Anderson,9781526505590,813.54 A13,1999,Fiction,Book,YA,33946766309,20,2020-09-26,1999-10-31,Available,13.39,YA
The Power of Habit,Charles Duhigg,9781376338478,158.1 D18,2012,Self-Help,Book,Branch,35984671649,8,2020-04-23,2012-07-15,Available,15.66,Adult Non-Fiction
The Color Purple,Alice Walker,9781570517150,813.54 W90,1982,Fiction,Book,Branch,36039758047,0,,2003-01-30,Available,26.95,Adult Fiction
HTML for the World Wide Web,Elizabeth Castro,9780305493363,005.72 C27,1998,Technology,Book,Branch,38778504632,0,,1999-03-22,Available,24.94,Adult Non-Fiction
Java: The Complete Reference,Herbert Schildt,9781725223790,005.133 S61,1996,Technology,Book,Main,35610783750,6,2021-05-01,1999-10-25,Lost,13.43,Adult Non-Fiction
The Hobbit,J.R.R. Tolkien,9780747248200,PR6039.O32 1949,1937,Fiction,Book,Children,35069495876,12,2024-01-06,2009-04-28,Available,23.81,Juvenile
Ghosts,Raina Telgemeier,9781911320364,741.5 T80,2016,Graphic Novels,Book,Children,34272659618,13,2020-01-13,2016-05-19,Checked Out,18.60,Juvenile
HTML for the World Wide Web,Elizabeth Castro,9780611511614,QA76.76.H94 1947,1998,Technology,Book,Main,36443749394,18,2022-10-13,2000-05-06,Checked Out,29.28,Adult Non-Fiction
Ender's Game,Orson Scott Card,9780823339815,813.54 C88,1985,Science Fiction,Book,Main,38243746556,2,2024-04-21,1997-10-05,Available,17.67,Adult Fiction
Dog Man: Brawl of the Wild,Dav Pilkey,9780618850426,PZ7.7.P55 1907,2018,Fiction,Book,Children,36528012497,10,2024-09-17,2019-10-24,Missing,18.10,Juvenile
The Light We Carry,Michelle Obama,9780798328630,973.932 O89,2022,Biography,Book,Branch,32148679234,10,2021-08-09,2022-07-05,Available,21.75,Adult Non-Fiction
Being Mortal,Atul Gawande,9780449326435,616.029 G53,2014,Medicine,Book,Main,31809283659,44,2022-05-15,2014-05-15,Checked Out,24.94,Adult Non-Fiction
Beloved,Toni Morrison,9780885908707,813.54 M55,1987,Fiction,Book,Main,35114549022,8,2023-01-30,2007-11-20,Available,20.32,Adult Fiction
The Lincoln Highway,Amor Towles,9781302271596,813.6 T55,2021,Fiction,DVD,Main,34097892639,25,2022-06-05,2021-07-16,Available,20.81,Adult Fiction
Big Little Lies,Liane Moriarty,9780529866752,823.92 M68,2014,Fiction,Book,Main,39594878379,31,2025-08-03,2015-01-06,Available,22.87,Adult Fiction
Mayo Clinic Family Health Book,Mayo Clinic,9780001209220,613 C26,2003,Medicine,Audiobook,Main,39498435585,0,,2003-02-01,Available,24.69,Adult Non-Fiction
Along Came a Spider,James Patterson,9780186339583,813.54 P57,1993,Fiction,Book,Branch,38640187694,2,2025-04-19,1994-05-18,Available,22.97,Adult Fiction
Matilda,Roald Dahl,9781967318902,PZ7.D1535 2002,1988,Fiction,Book,Children,37021581129,0,,2007-03-30,Available,13.60,Juvenile
The Nightingale,Kristin Hannah,9781723780714,813.54 H59,2015,Fiction,Book,Branch,39645619869,30,2024-02-15,2016-12-22,Checked Out,25.34,Adult Fiction
The 7 Habits of Highly Effective People,Stephen R. Covey,9781803620701,158.1 C19,1989,Self-Help,Book,Main,39175836491,1,2023-09-19,2005-07-10,Available,18.99,Adult Non-Fiction
Empire of Pain,Patrick Radden Keefe,9781269512503,HD9666.9.P87.K44 2013,2021,Business,Book,Main,37614788357,10,2025-07-03,2022-08-09,Available,13.91,Adult Non-Fiction
Brave New World,Aldous Huxley,9780030790379,PR6015.U9 1965,1932,Fiction,Book,Main,32111065867,7,2020-09-02,1997-06-23,Lost,26.98,Adult Fiction
Ghosts,Raina Telgemeier,9780393288971,741.5 T82,2016,Graphic Novels,Book,Children,39936181631,98,2020-08-17,2017-05-02,Available,23.09,Juvenile
Wonder,R.J. Palacio,9781220609617,813.6 P92,2012,Fiction,Book,Children,38709361138,36,2020-08-28,2013-07-09,Checked Out,20.94,Juvenile
The 7 Habits of Highly Effective People,Stephen R. Covey,9780683136333,158.1 C54,1989,Self-Help,Book,Main,36790905673,0,,2005-02-23,Checked Out,17.05,Adult Non-Fiction
Thirteen Reasons Why,Jay Asher,9781043837600,813.6 A92,2007,Fiction,Book,YA,31564409423,22,2024-02-07,2007-05-16,Available,21.08,YA
Wonder,R.J. Palacio,9780491878401,813.6 P25,2012,Fiction,Book,Children,39798613995,8,2021-04-19,2013-12-07,Available,18.91,Juvenile
"Beautiful World, Where Are You",Sally Rooney,9780291195678,PR6118.O553 1993,2021,Fiction,CD,Branch,32693601838,0,,2022-08-09,Available,16.70,Adult Fiction
The Song of Achilles,Madeline Miller,9780852250907,813.6 M79,2012,Fiction,Book,Branch,33799264931,17,2022-09-04,2012-06-05,Available,13.39,Adult Fiction
The Pioneer Woman Cooks,Ree Drummond,9780788625367,641.5 D30,2009,Cooking,Large Print,Branch,31473890212,39,2024-03-13,2009-11-09,Available,29.66,Adult Non-Fiction
One Hundred Years of Solitude,Gabriel Garcia Marquez,9780275199678,863.64 M66,1970,Fiction,Audiobook,Main,38012696455,10,2023-12-07,1996-05-01,Checked Out,30.64,Adult Fiction
Bad Blood,John Carreyrou,9781840144239,338.7 C80,2018,Business,Book,Branch,31474439845,38,2022-04-07,2018-02-02,Available,13.02,Adult Non-Fiction
The Women,Kristin Hannah,9780411547899,813.54 H72,2024,Fiction,DVD,Main,39397041061,4,2022-08-24,2024-05-23,Checked Out,10.78,Adult Fiction
A Gentleman in Moscow,Amor Towles,9780804838443,813.6 T23,2016,Fiction,Book,Branch,32112380464,0,,2016-09-13,Available,25.76,Adult Fiction
Gender Queer: A Memoir,Maia Kobabe,9780936414966,306.76 K46,2019,Sociology,Book,YA,32063577070,19,2021-02-05,2020-04-10,Checked Out,13.77,YA
Caste,Isabel Wilkerson,9781493362936,305.5122 W93,2020,Social Science,Audiobook,Main,37512767226,12,2020-01-28,2021-09-10,Available,30.03,Adult Non-Fiction
All Boys Aren't Blue,George M. Johnson,9781799742913,306.76 J89,2020,Sociology,Audiobook,YA,33781645815,15,2021-04-22,2021-02-22,Available,22.79,YA
The Immortal Life of Henrietta Lacks,Rebecca Skloot,9781213541900,616.027 S66,2010,Science,Book,Branch,33172333857,15,2021-04-28,2011-06-26,Available,24.18,Adult Non-Fiction
Looking for Alaska,John Green,9780469653122,PS3607.R4325 2010,2005,Fiction,Book,YA,37824071339,0,,2005-05-10,Available,25.08,YA
The Kite Runner,Khaled Hosseini,9781594477829,813.54 H75,2003,Fiction,Book,Main,33536590481,17,2024-09-15,2004-05-31,Available,26.69,Adult Fiction
Greenlights,Matthew McConaughey,9780081195918,791.4302 M34,2020,Biography,Book,Main,34067961943,75,2025-11-16,2021-03-25,Available,20.92,Adult Non-Fiction
The Joy of Cooking,Irma S. Rombauer,9780473916671,641.5 R47,2019,Cooking,Audiobook,Branch,31963110410,5,2024-02-20,2020-01-05,Available,29.34,Adult Non-Fiction
Bad Blood,John Carreyrou,9781953120885,338.7 C90,2018,Business,Book,Main,35668747327,18,2020-02-20,2019-04-15,Available,25.93,Adult Non-Fiction
Outliers: The Story of Success,Malcolm Gladwell,9780966608052,302 G33,2008,Social Science,Book,Main,34792874364,14,2023-02-14,2008-07-29,Available,25.28,Adult Non-Fiction
Lord of the Flies,William Golding,9781675929834,823.914 G91,1954,Fiction,DVD,Branch,36880115912,15,2025-02-20,1997-02-02,Checked Out,19.15,Adult Fiction
HTML for the World Wide Web,Elizabeth Castro,9780580191916,005.72 C76,1998,Technology,DVD,Branch,34307777078,11,2024-07-03,1999-10-07,Available,24.70,Adult Non-Fiction
All Boys Aren't Blue,George M. Johnson,9781592423972,306.76 J73,2020,Sociology,Audiobook,YA,32298447203,0,,2020-07-25,Checked Out,38.26,YA
Hillbilly Elegy,J.D. Vance,9780878610754,305.562 V76,2016,Social Science,Book,Branch,36153541642,6,2020-09-11,2016-05-29,Available,24.11,Adult Non-Fiction
Little Fires Everywhere,Celeste Ng,9780195657388,813.6 N19,2017,Fiction,Book,Branch,39371430906,0,,2018-07-26,Available,25.51,Adult Fiction
The Giving Tree,Shel Silverstein,9780327266778,813.54 S83,1964,Fiction,Book,Children,39329737841,3,2023-02-28,2002-05-07,Available,14.76,Juvenile
Sams Teach Yourself Visual Basic,Greg Perry,9781859397596,005.133 P98,1999,Technology,Book,Main,33480920839,6,2024-04-06,2002-06-23,Available,13.80,Adult Non-Fiction
People We Meet on Vacation,Emily Henry,9781558469693,813.6 H15,2021,Fiction,Audiobook,Branch,31497791242,67,2023-09-08,2021-06-24,Available,27.14,Adult Fiction
When Breath Becomes Air,Paul Kalanithi,9781850049746,616.994 K88,2016,Medicine,Audiobook,Main,36449549092,3,2025-02-08,2017-10-14,Available,32.34,Adult Non-Fiction
Along Came a Spider,James Patterson,9780900637797,813.54 P76,1993,Fiction,Book,Branch,34744675014,29,2022-05-09,1994-10-02,Available,17.09,Adult Fiction
Normal People,Sally Rooney,9781572131538,PR6118.O553 1923,2018,Fiction,Book,Branch,39277288208,0,,2019-12-28,Available,21.65,Adult Fiction
Of Mice and Men,John Steinbeck,9781277776492,813.52 S18,1937,Fiction,DVD,Main,36448324230,16,2023-11-08,2005-11-19,Available,23.30,Adult Fiction
The Fault in Our Stars,John Green,9781387012008,813.6 G84,2012,Fiction,Book,YA,36137604603,38,2023-10-14,2013-11-01,Available,15.88,YA
The House in the Pines,Ana Reyes,9781341892684,PS3618.E953 1910,2023,Fiction,Book,Main,32349409434,10,2020-10-24,2023-11-20,Available,11.17,Adult Fiction
Pride and Prejudice,Jane Austen,9781342597038,823.7 A62,1813,Fiction,Book,Main,38218146534,9,2024-02-25,1999-01-04,Available,21.61,Adult Fiction
The Glass Castle,Jeannette Walls,9780456134627,362.292 W86,2005,Biography,Book,Main,38926438617,10,2021-07-02,2006-11-20,Available,16.94,Adult Non-Fiction
The Light We Carry,Michelle Obama,9781585500154,E909.O24 2013,2022,Biography,CD,Branch,32139078760,2,2020-07-16,2022-01-02,Checked Out,13.46,Adult Non-Fiction
Mexican Gothic,Silvia Moreno-Garcia,9780943229553,PS3613.O7447 1923,2020,Fiction,Book,Branch,31368287033,32,2021-08-07,2021-02-24,Available,26.09,Adult Fiction
People We Meet on Vacation,Emily Henry,9780023864711,813.6 H73,2021,Fiction,Book,Main,39078430211,12,2020-05-10,2022-05-31,Checked Out,26.32,Adult Fiction
The Giver,Lois Lowry,9781919567198,813.54 L27,1993,Fiction,Book,Children,38991678061,12,2023-04-05,1996-07-02,Available,24.04,Juvenile
Freakonomics,Steven D. Levitt,9781505030174,330 L13,2005,Economics,Book,Main,36548442140,3,2025-11-04,2005-09-06,Available,14.21,Adult Non-Fiction
Dune,Frank Herbert,9780238757907,PS3558.E63 1989,1965,Science Fiction,Large Print,Branch,33625862062,8,2022-09-01,1996-09-29,Available,30.62,Adult Fiction
The Subtle Art of Not Giving a F*ck,Mark Manson,9780231597272,BF637.S4.M36 1958,2016,Self-Help,DVD,Branch,36115319619,2,2024-11-28,2016-03-27,Available,20.76,Adult Non-Fiction
People We Meet on Vacation,Emily Henry,9781572097957,813.6 H14,2021,Fiction,Book,Main,35791662169,14,2025-10-30,2021-01-02,Available,28.58,Adult Fiction
Between the World and Me,Ta-Nehisi Coates,9781327271496,E185.97.C63 1917,2015,Social Science,Book,Main,39701231535,17,2022-12-02,2015-09-26,Available,24.37,Adult Non-Fiction
Learning Perl,Randal L. Schwartz,9780208956545,005.133 S51,1993,Technology,Large Print,Branch,37299922974,55,2022-05-31,1994-05-09,Available,35.82,Adult Non-Fiction
Demon Copperhead,Barbara Kingsolver,9781795131148,813.54 K74,2022,Fiction,Book,Branch,39275074323,3,2024-05-20,2022-05-20,Available,26.13,Adult Fiction
Demon Copperhead,Barbara Kingsolver,9781433754692,PS3561.I496 1908,2022,Fiction,Book,Main,33815235019,0,,2022-07-18,Available,17.03,Adult Fiction
The Joy of Cooking,Irma S. Rombauer,9780830948291,641.5 R25,2019,Cooking,Audiobook,Main,32642768997,2,2025-08-19,2019-12-01,Available,33.95,Adult Non-Fiction
Bridge to Terabithia,Katherine Paterson,9781323129357,813.54 P58,1977,Fiction,Book,Children,31315708805,8,2023-07-21,2003-09-27,Available,17.84,Juvenile
Dark Places,Gillian Flynn,9780101980258,PS3606.L93 1910,2009,Fiction,Book,Branch,38622245437,4,2025-10-04,2010-11-07,Available,22.26,Adult Fiction
Gender Queer: A Memoir,Maia Kobabe,9780649330492,306.76 K58,2019,Sociology,Book,YA,38924383984,0,,2019-01-16,Checked Out,24.72,YA
The Power of Habit,Charles Duhigg,9780482475732,158.1 D16,2012,Self-Help,Audiobook,Main,39115282784,13,2025-07-30,2013-12-09,Available,27.34,Adult Non-Fiction
Fourth Wing,Rebecca Yarros,9781090446107,PS3625.A77 1966,2023,Fiction,Large Print,Branch,39014547420,21,2024-02-20,2023-01-09,Available,27.40,Adult Fiction
